Family,Group,Accession,Ducale
Cocco,Curti,1297,0
Cocodrizi,Curti,?,0
Colleone,Curti,1450,0
Codognola,Curti,1717,0
Collalto,Curti,1297,0
Comino,Curti,1464,0
Concanfo,Curti,?,0
Condulmer,Curti,1381,0
Contarini,Lunghi,1297,0
Contenti,Curti,1686,0
Conti,Curti,1667,0
Coppo,Curti,1297,0
Corner,Lunghi,1297,0
Correggio,Curti,1646,0
Correr,Curti,1297,0
Cossazza,Curti,1423,0
Costantino,Curti,1348,0
Cottoni,Curti,1699,0
Croce,Curti,?,0
Crotta,Curti,1649,0
Curti,Curti,1688,0
D'equilo,Curti,1297,0
Da Comino,Curti,1297,0
Da Fano,Curti,1297,0
Da Mar,Curti,1309,0
Da Porto,Curti,1381,0
Dal Sol,Curti,1310,0
Dalbore,Curti,?,0
Dalla Scala,Curti,1297,0
Dalle Sevole,Curti,1297,0
Dandolo,Lunghi,1297,0
Danselmo,Curti,?,0
Darmer,Curti,1297,0
Darpin,Curti,1297,0
Darpo,Curti,?,0
David,Curti,1297,0
Davillo,Curti,?,0
De Lia,Curti,?,0
De Malis,Curti,1300,0
De Verardo,Curti,1312,0
Deddo,Curti,?,0
Della Frascada,Curti,1297,0
Delli Aspinal,Curti,?,0
Dente,Curti,1310,0
Deretti,Curti,1355,0
Di Lorzo,Curti,?,0
Di Pigli,Curti,1334,0
Di Rossi,Curti,1423,0
Diedo,Curti,1297,0
Diesello,Curti,1310,0
Diesenove,Curti,?,0
Dolce,Curti,1658,0
Dolfin,Lunghi,1297,0
Dolfinigo,Curti,?,0
Don Zorzi,Curti,1297,0
Donadi,Curti,1311,0
Dondiorologio,Curti,1653,0
Donisdio,Curti,?,0
Dono,Curti,1297,0
Donato,Curti,1297,1
Doro,Curti,1297,0
Dotho,Curti,1297,0
Dozane,Curti,1297,0
Drusco,Curti,?,0
Duodo,Curti,1297,0
Emo,Curti,1297,0
Enegro,Curti,?,0
Erizzo,Curti,1297,0
Fabrizi,Curti,?,0
Faccio,Curti,?,0
Falier,Lunghi,1297,0
Faraon,Curti,?,0
Farsetti,Curti,1664,0
Favero,Curti,inizio '300,0
Ferramosca,Curti,1648,0
Ferro,Curti,1297,0
Fexasonda,Curti,?,0
Fini,Curti,1649,0
Fiollo,Curti,?,0
Flangini,Curti,1664,0
Fondanizi,Curti,?,0
Fonseca,Curti,1664,0
Dalla Fontana,Curti,1297,0
Fonte,Curti,1646,0
Dalla Fornase,Curti,1381,0
Foscari,Curti,1297,1
Foscarini,Curti,1297,0
Foscolo,Curti,1297,0
Fracassetti,Curti,1704,0
Fradello,Curti,1297,0
Fradello (di Candia),Curti,1493,0
Franceschi,Curti,1716,0
Franco,Curti,?,0
Franzapani,Curti,?,0
Gabriel,Curti,1297,0
Galaenzi,Curti,?,0
Galaresi,Curti,?,0
Gallina,Curti,?,0
Gallo,Curti,1694,0
Gambara,Curti,1653,0
Gambarin,Curti,1297,0
Garzoni,Curti,1381,0
Gezo,Curti,1379,0
Ghedini,Curti,1667,0
Gheltof,Curti,1697,0
Gherardini,Curti,1652,0
Ghisi,Curti,1297,0
Giovanelli,Curti,1668,0
Girardo,Curti,1297,0
Giupponi,Curti,1660,0
Giustinian,Lunghi,1297,0
Gozzi,Curti,1646,0
Gradelon,Curti,1297,0
Gradenigo,Lunghi,1297,0
Grasoni,Curti,1297,0
Grassi,Curti,1718,0
Grego,Curti,1493,0
Grimani,Curti,1297,1
Grioni,Curti,1297,0
Grisoni,Curti,1297,0
Gritti,Curti,1297,1
Guatardo,Curti,?,0
Guberto,Curti,1297,0
Guerra,Curti,1689,0
Gugino,Curti,?,0
Guoro,Curti,1381,0
Gussoni,Curti,1297,0
Haoldo,Curti,?,0
Iacolo,Curti,?,0
Iallina,Curti,?,0
Istrigo,Curti,1297,0
Labia,Curti,1646,0
Laghi,Curti,1661,0
Lambertini,Curti,?,0
Lando,Curti,1297,1
Lanzuoli,Curti,1297,0
Lazzari,Curti,1660,0
Leucari,Curti,1297,0
Da Lezze,Curti,1297,0
Lini,Curti,1685,0
Lion,Curti,1303,0
Cavazza,Curti,1652,0
Lippomano,Curti,1381,0
Lisiado,Curti,?,0
Lolin,Curti,1436,0
Lombardo,Curti,1297,0
Lombreschi,Curti,?,0
Lombria,Curti,1646,0
Longo,Curti,1297,0
Loredan,Curti,1297,1
Lucca,Curti,1654,0
Lugma (lugnano),Curti,1297,0
Lupanadi,Curti,?,0
Maccarelli,Curti,1648,0
Madeo,Curti,1297,0
Maffetti,Curti,1654,0
Maganesi,Curti,dopo 1297,0
Maggio,Curti,?,0
Magno,Curti,1297,0
Maina,Curti,1341,0
Maistrorso,Curti,1297,0
Malatesta,Curti,1480,0
Malaza,Curti,?,0
Malipiero,Curti,1297,1
Manfrotto,Curti,1698,0
Manin,Curti,1651,0
Manolesso,Curti,1297,0
Manzoni,Curti,1687,0
Maranzin,Curti,1297,0
Marcello,Curti,1297,1
Marcipagni,Curti,?,0
Marconi,Curti,?,0
Marin,Curti,1297,0
Marioni,Curti,1297,0
Marmora,Curti,1303,0
Marono,Curti,?,0
Martine,Curti,?,0
Martinelli,Curti,1646,0
Martinengo,Curti,1448,0
Massoli,Curti,1297,0
Mastalizi,Curti,?,0
Matono,Curti,?,0
Mazaman,Curti,1297,0
Mazaruol,Curti,1297,0
Medici,Curti,1652,0
Melli,Curti,1550,0
Memmo,Lunghi,1297,0
Menegato,Curti,?,0
Mengolo,Curti,1297,0
Mettadori,Curti,?,0
De Mezzo,Curti,1297,0
Miani,Curti,1297,0
Michiel,Lunghi,1297,0
Miegano,Curti,1297,0
Minelli,Curti,1650,0
Minio,Curti,1297,0
Minotto,Curti,1297,0
Mocenigo,Curti,1297,1
Da Molin,Curti,1297,0
Mora,Curti,1653,0
Morelli,Curti,1686,0
Moro,Curti,1297,1
Morosini,Lunghi,1297,0
Mortadello,Curti,?,0
Mosto,Curti,1297,0
Muazzo,Curti,1297,0
Da Mula,Curti,1297,0
Mussatti,Curti,1776,0
Mussolino,Curti,1297,0
Nadal,Curti,1297,0
Nani,Curti,1297,0
Navager,Curti,1297,0
Nave,Curti,1653,0
Navigroso,Curti,1297,0
Negro,Curti,1381,0
Nicola,Curti,1297,0
Nosadini,Curti,1694,0
Obizo,Curti,?,0
Ogniben,Curti,?,0
Onoradi,Curti,1297,0
Orio,Curti,1297,0
Orso,Curti,1381,0
Osello,Curti,?,0
Ottoboni,Curti,1646,0
Ottolin,Curti,1780,0
Pallavicino,Curti,1423,0
Panciera,Curti,1777,0
Papaciza,Curti,1311,0
Papafava,Curti,1652,0
Paradiso,Curti,1297,0
Paruta,Curti,1381,0
Pasqualigo,Curti,1297,0
Pasta,Curti,1669,0
Patani,Curti,?,0
Pecin,Curti,1381,0
Pelizzioli,Curti,1699,0
Pentolo,Curti,?,0
Pepoli,Curti,1338,0
Persico,Curti,1685,0
Pesaro,Curti,1297,0
Pianega,Curti,1297,0
Piero,Curti,1297,0
Pindemonte,Curti,1782,0
Pino,Curti,1297,0
Piovene,Curti,1654,0
Pisani,Curti,1297,0
Pizzamano,Curti,1297,0
Polani,Lunghi,1297,0
Polini,Curti,1300,0
Polo,Curti,1297,0
Polvaro,Curti,1662,0
Ponte,Curti,1493,1
Premarin,Curti,1297,0
Premuda,Curti,1297,0
Priuli,Curti,1297,1
Protti,Curti,1403,0
Querini,Lunghi,1297,0
Quintavalle,Curti,1297,0
Ragusio,Curti,?,0
Rampani,Curti,?,0
Ranaso,Curti,?,0
Raspi,Curti,1662,0
Rava,Curti,?,0
Ravagnin,Curti,1657,0
Rebolin,Curti,?,0
Recanati,Curti,1697,0
Redetti,Curti,1698,0
Regin,Curti,?,0
Renier,Curti,1381,0
Rezzonico,Curti,1687,0
Riario,Curti,1481,0
Da Riva,Curti,1297,0
Rizzi,Curti,1687,0
Romani,Curti,1297,0
Romieri,Curti,1689,0
Rosso,Curti,1297,0
Rota,Curti,1685,0
Rovere,Curti,1512,0
Rovini,Curti,1788,0
Rubini,Curti,1646,0
Ruzier,Curti,1297,0
Ruzzini,Curti,1297,0
Sabadin,Curti,?,0
Sagredo,Curti,1297,0
Salamon,Lunghi,1297,0
Sallonesi,Curti,?,0
Sandi,Curti,1685,0
Sangiantoffetti,Curti,1649,0
Santasoffia,Curti,1649,0
Sanudo,Lunghi,1297,0
Savello,Curti,1404,0
Savia,Curti,1297,0
Savoner,Curti,1297,0
Savorgnan,Curti,1385,0
Schogolo (secogolo),Curti,1297,0
Schondoler,Curti,?,0
Sclavo,Curti,?,0
Scroffa,Curti,1698,0
Selvo,Curti,1297,0
Semenzi,Curti,1685,0
Semitecolo,Curti,1297,0
Senadori,Curti,?,0
Sesendillo,Curti,1297,0
Signolo,Curti,1297,0
Sisolla,Curti,?,0
Soderini,Curti,1656,0
Soranzo,Lunghi,1297,0
Spatafora,Curti,1409,0
Spazacanal,Curti,?,0
Spineda,Curti,1776,0
Spinelli,Curti,1718,0
Stanier,Curti,1297,0
Statio,Curti,1653,0
Steno,Curti,1297,1
Storladi,Curti,1297,0
